filename,object_location,image_small,image_thumb,title,artist,publication,date,page,subject
HarpersBazaar_1872_456.pdf,/objects/HarpersBazaar_1872_456.pdf,/objects/small/harpersbazaar_1872_456_sm.jpg,/objects/thumbs/harpersbazaar_1872_456_th.jpg,,"Bellew, Allie",Harper's Bazar,1872-07-06,456,
HarpersBazaar_1873_192.pdf,/objects/HarpersBazaar_1873_192.pdf,/objects/small/harpersbazaar_1873_192_sm.jpg,/objects/thumbs/harpersbazaar_1873_192_th.jpg,,"Bellew, Allie",Harper's Bazar,1873-03-22,192,
HarpersBazaar_1873_208.pdf,/objects/HarpersBazaar_1873_208.pdf,/objects/small/harpersbazaar_1873_208_sm.jpg,/objects/thumbs/harpersbazaar_1873_208_th.jpg,,"Bellew, Allie",Harper's Bazar,1873-03-29,208,
HarpersBazaar_1873_224.pdf,/objects/HarpersBazaar_1873_224.pdf,/objects/small/harpersbazaar_1873_224_sm.jpg,/objects/thumbs/harpersbazaar_1873_224_th.jpg,,"Bellew, Allie",Harper's Bazar,1873-04-05,224,
HarpersBazaar_1873_240.pdf,/objects/HarpersBazaar_1873_240.pdf,/objects/small/harpersbazaar_1873_240_sm.jpg,/objects/thumbs/harpersbazaar_1873_240_th.jpg,,"Bellew, Allie",Harper's Bazar,1873-04-12,240,
HarpersBazaar_1873_320.pdf,/objects/HarpersBazaar_1873_320.pdf,/objects/small/harpersbazaar_1873_320_sm.jpg,/objects/thumbs/harpersbazaar_1873_320_th.jpg,,"Bellew, Allie",Harper's Bazar,1873-05-17,320,
HarpersBazaar_1873_512.pdf,/objects/HarpersBazaar_1873_512.pdf,/objects/small/harpersbazaar_1873_512_sm.jpg,/objects/thumbs/harpersbazaar_1873_512_th.jpg,,"Bellew, Allie",Harper's Bazar,1873-08-09,512,
HarpersBazaar_1873_688.pdf,/objects/HarpersBazaar_1873_688.pdf,/objects/small/harpersbazaar_1873_688_sm.jpg,/objects/thumbs/harpersbazaar_1873_688_th.jpg,,"Bellew, Allie",Harper's Bazar,1873-10-25,688,
HarpersBazaar_1873_720.pdf,/objects/HarpersBazaar_1873_720.pdf,/objects/small/harpersbazaar_1873_720_sm.jpg,/objects/thumbs/harpersbazaar_1873_720_th.jpg,,"Bellew, Allie",Harper's Bazar,1873-11-08,720,
HarpersBazaar_1873_768.pdf,/objects/HarpersBazaar_1873_768.pdf,/objects/small/harpersbazaar_1873_768_sm.jpg,/objects/thumbs/harpersbazaar_1873_768_th.jpg,,"Bellew, Allie",Harper's Bazar,1873-11-29,768,
HarpersBazaar_1874_152.pdf,/objects/HarpersBazaar_1874_152.pdf,/objects/small/harpersbazaar_1874_152_sm.jpg,/objects/thumbs/harpersbazaar_1874_152_th.jpg,,"Bellew, Allie",Harper's Bazar,1874-01-10,152,
HarpersBazaar_1874_232.pdf,/objects/HarpersBazaar_1874_232.pdf,/objects/small/harpersbazaar_1874_232_sm.jpg,/objects/thumbs/harpersbazaar_1874_232_th.jpg,,"Bellew, Allie",Harper's Bazar,1874-02-28,232,
HarpersBazaar_1874_40.pdf,/objects/HarpersBazaar_1874_40.pdf,/objects/small/harpersbazaar_1874_40_sm.jpg,/objects/thumbs/harpersbazaar_1874_40_th.jpg,,"Bellew, Allie",Harper's Bazar,1874-04-04,40,
HarpersBazaar_1874_584.pdf,/objects/HarpersBazaar_1874_584.pdf,/objects/small/harpersbazaar_1874_584_sm.jpg,/objects/thumbs/harpersbazaar_1874_584_th.jpg,,"Bellew, Allie",Harper's Bazar,1874-09-05,584,
HarpersBazaar_1874_768.pdf,/objects/HarpersBazaar_1874_768.pdf,/objects/small/harpersbazaar_1874_768_sm.jpg,/objects/thumbs/harpersbazaar_1874_768_th.jpg,,"Bellew, Allie",Harper's Bazar,1874-11-21,768,
HarpersBazaar_1875_424.pdf,/objects/HarpersBazaar_1875_424.pdf,/objects/small/harpersbazaar_1875_424_sm.jpg,/objects/thumbs/harpersbazaar_1875_424_th.jpg,,"Bellew, Allie",Harper's Bazar,1875-06-26,424,
HarpersBazaar_1875_664.pdf,/objects/HarpersBazaar_1875_664.pdf,/objects/small/harpersbazaar_1875_664_sm.jpg,/objects/thumbs/harpersbazaar_1875_664_th.jpg,,"Bellew, Allie",Harper's Bazar,1875-10-09,664,
HarpersBazaar_1875_776.pdf,/objects/HarpersBazaar_1875_776.pdf,/objects/small/harpersbazaar_1875_776_sm.jpg,/objects/thumbs/harpersbazaar_1875_776_th.jpg,,"Bellew, Allie",Harper's Bazar,1875-11-27,776,
HarpersBazaar_1876_144.pdf,/objects/HarpersBazaar_1876_144.pdf,/objects/small/harpersbazaar_1876_144_sm.jpg,/objects/thumbs/harpersbazaar_1876_144_th.jpg,,"Bellew, Allie",Harper's Bazar,1876-02-26,144,
HarpersBazaar_1876_176.pdf,/objects/HarpersBazaar_1876_176.pdf,/objects/small/harpersbazaar_1876_176_sm.jpg,/objects/thumbs/harpersbazaar_1876_176_th.jpg,,"Bellew, Allie",Harper's Bazar,1876-03-11,176,
HarpersBazaar_1876_240.pdf,/objects/HarpersBazaar_1876_240.pdf,/objects/small/harpersbazaar_1876_240_sm.jpg,/objects/thumbs/harpersbazaar_1876_240_th.jpg,,"Bellew, Allie",Harper's Bazar,1876-04-08,240,
HarpersBazaar_1876_288.pdf,/objects/HarpersBazaar_1876_288.pdf,/objects/small/harpersbazaar_1876_288_sm.jpg,/objects/thumbs/harpersbazaar_1876_288_th.jpg,,"Bellew, Allie",Harper's Bazar,1876-04-29,288,
HarpersBazaar_1876_336.pdf,/objects/HarpersBazaar_1876_336.pdf,/objects/small/harpersbazaar_1876_336_sm.jpg,/objects/thumbs/harpersbazaar_1876_336_th.jpg,,"Bellew, Allie",Harper's Bazar,1876-05-20,336,
HarpersBazaar_1876_528.pdf,/objects/HarpersBazaar_1876_528.pdf,/objects/small/harpersbazaar_1876_528_sm.jpg,/objects/thumbs/harpersbazaar_1876_528_th.jpg,,"Bellew, Allie",Harper's Bazar,1876-08-12,528,
HarpersBazaar_1876_576.pdf,/objects/HarpersBazaar_1876_576.pdf,/objects/small/harpersbazaar_1876_576_sm.jpg,/objects/thumbs/harpersbazaar_1876_576_th.jpg,,"Bellew, Allie",Harper's Bazar,1876-09-02,576,
HarpersBazaar_1876_704.pdf,/objects/HarpersBazaar_1876_704.pdf,/objects/small/harpersbazaar_1876_704_sm.jpg,/objects/thumbs/harpersbazaar_1876_704_th.jpg,,"Bellew, Allie",Harper's Bazar,1876-10-28,704,
HarpersBazaar_1877_179.pdf,/objects/HarpersBazaar_1877_179.pdf,/objects/small/harpersbazaar_1877_179_sm.jpg,/objects/thumbs/harpersbazaar_1877_179_th.jpg,,"Bellew, Allie",Harper's Bazar,1877-03-17,179,
HarpersBazaar_1877_208.pdf,/objects/HarpersBazaar_1877_208.pdf,/objects/small/harpersbazaar_1877_208_sm.jpg,/objects/thumbs/harpersbazaar_1877_208_th.jpg,,"Bellew, Allie",Harper's Bazar,1877-03-31,208,
HarpersBazaar_1877_384.pdf,/objects/HarpersBazaar_1877_384.pdf,/objects/small/harpersbazaar_1877_384_sm.jpg,/objects/thumbs/harpersbazaar_1877_384_th.jpg,,"Bellew, Allie",Harper's Bazar,1877-01-16,384,
