objectid,display_template,filename,object_location,image_small,image_thumb,title,artist,publication,date,page,subject
alliebellew001,pdf,HarpersBazaar_1872_456.pdf,/objects/HarpersBazaar_1872_456.pdf,/objects/small/harpersbazaar_1872_456_sm.jpg,/objects/thumbs/harpersbazaar_1872_456_th.jpg,,"Bellew, Allie",Harper's Bazar,1872-07-06,456,
alliebellew002,pdf,HarpersBazaar_1873_192.pdf,/objects/HarpersBazaar_1873_192.pdf,/objects/small/harpersbazaar_1873_192_sm.jpg,/objects/thumbs/harpersbazaar_1873_192_th.jpg,,"Bellew, Allie",Harper's Bazar,1873-03-22,192,
alliebellew003,pdf,HarpersBazaar_1873_208.pdf,/objects/HarpersBazaar_1873_208.pdf,/objects/small/harpersbazaar_1873_208_sm.jpg,/objects/thumbs/harpersbazaar_1873_208_th.jpg,,"Bellew, Allie",Harper's Bazar,1873-03-29,208,
alliebellew004,pdf,HarpersBazaar_1873_224.pdf,/objects/HarpersBazaar_1873_224.pdf,/objects/small/harpersbazaar_1873_224_sm.jpg,/objects/thumbs/harpersbazaar_1873_224_th.jpg,,"Bellew, Allie",Harper's Bazar,1873-04-05,224,
alliebellew005,pdf,HarpersBazaar_1873_240.pdf,/objects/HarpersBazaar_1873_240.pdf,/objects/small/harpersbazaar_1873_240_sm.jpg,/objects/thumbs/harpersbazaar_1873_240_th.jpg,,"Bellew, Allie",Harper's Bazar,1873-04-12,240,
alliebellew006,pdf,HarpersBazaar_1873_320.pdf,/objects/HarpersBazaar_1873_320.pdf,/objects/small/harpersbazaar_1873_320_sm.jpg,/objects/thumbs/harpersbazaar_1873_320_th.jpg,,"Bellew, Allie",Harper's Bazar,1873-05-17,320,
alliebellew007,pdf,HarpersBazaar_1873_512.pdf,/objects/HarpersBazaar_1873_512.pdf,/objects/small/harpersbazaar_1873_512_sm.jpg,/objects/thumbs/harpersbazaar_1873_512_th.jpg,,"Bellew, Allie",Harper's Bazar,1873-08-09,512,
alliebellew008,pdf,HarpersBazaar_1873_688.pdf,/objects/HarpersBazaar_1873_688.pdf,/objects/small/harpersbazaar_1873_688_sm.jpg,/objects/thumbs/harpersbazaar_1873_688_th.jpg,,"Bellew, Allie",Harper's Bazar,1873-10-25,688,
alliebellew009,pdf,HarpersBazaar_1873_720.pdf,/objects/HarpersBazaar_1873_720.pdf,/objects/small/harpersbazaar_1873_720_sm.jpg,/objects/thumbs/harpersbazaar_1873_720_th.jpg,,"Bellew, Allie",Harper's Bazar,1873-11-08,720,
alliebellew010,pdf,HarpersBazaar_1873_768.pdf,/objects/HarpersBazaar_1873_768.pdf,/objects/small/harpersbazaar_1873_768_sm.jpg,/objects/thumbs/harpersbazaar_1873_768_th.jpg,,"Bellew, Allie",Harper's Bazar,1873-11-29,768,
alliebellew011,pdf,HarpersBazaar_1874_152.pdf,/objects/HarpersBazaar_1874_152.pdf,/objects/small/harpersbazaar_1874_152_sm.jpg,/objects/thumbs/harpersbazaar_1874_152_th.jpg,,"Bellew, Allie",Harper's Bazar,1874-01-10,152,
alliebellew012,pdf,HarpersBazaar_1874_232.pdf,/objects/HarpersBazaar_1874_232.pdf,/objects/small/harpersbazaar_1874_232_sm.jpg,/objects/thumbs/harpersbazaar_1874_232_th.jpg,,"Bellew, Allie",Harper's Bazar,1874-02-28,232,
alliebellew013,pdf,HarpersBazaar_1874_40.pdf,/objects/HarpersBazaar_1874_40.pdf,/objects/small/harpersbazaar_1874_40_sm.jpg,/objects/thumbs/harpersbazaar_1874_40_th.jpg,,"Bellew, Allie",Harper's Bazar,1874-04-04,40,
alliebellew014,pdf,HarpersBazaar_1874_584.pdf,/objects/HarpersBazaar_1874_584.pdf,/objects/small/harpersbazaar_1874_584_sm.jpg,/objects/thumbs/harpersbazaar_1874_584_th.jpg,,"Bellew, Allie",Harper's Bazar,1874-09-05,584,
alliebellew015,pdf,HarpersBazaar_1874_768.pdf,/objects/HarpersBazaar_1874_768.pdf,/objects/small/harpersbazaar_1874_768_sm.jpg,/objects/thumbs/harpersbazaar_1874_768_th.jpg,,"Bellew, Allie",Harper's Bazar,1874-11-21,768,
alliebellew016,pdf,HarpersBazaar_1875_424.pdf,/objects/HarpersBazaar_1875_424.pdf,/objects/small/harpersbazaar_1875_424_sm.jpg,/objects/thumbs/harpersbazaar_1875_424_th.jpg,,"Bellew, Allie",Harper's Bazar,1875-06-26,424,
alliebellew017,pdf,HarpersBazaar_1875_664.pdf,/objects/HarpersBazaar_1875_664.pdf,/objects/small/harpersbazaar_1875_664_sm.jpg,/objects/thumbs/harpersbazaar_1875_664_th.jpg,,"Bellew, Allie",Harper's Bazar,1875-10-09,664,
alliebellew018,pdf,HarpersBazaar_1875_776.pdf,/objects/HarpersBazaar_1875_776.pdf,/objects/small/harpersbazaar_1875_776_sm.jpg,/objects/thumbs/harpersbazaar_1875_776_th.jpg,,"Bellew, Allie",Harper's Bazar,1875-11-27,776,
alliebellew019,pdf,HarpersBazaar_1876_144.pdf,/objects/HarpersBazaar_1876_144.pdf,/objects/small/harpersbazaar_1876_144_sm.jpg,/objects/thumbs/harpersbazaar_1876_144_th.jpg,,"Bellew, Allie",Harper's Bazar,1876-02-26,144,
alliebellew020,pdf,HarpersBazaar_1876_176.pdf,/objects/HarpersBazaar_1876_176.pdf,/objects/small/harpersbazaar_1876_176_sm.jpg,/objects/thumbs/harpersbazaar_1876_176_th.jpg,,"Bellew, Allie",Harper's Bazar,1876-03-11,176,
alliebellew021,pdf,HarpersBazaar_1876_240.pdf,/objects/HarpersBazaar_1876_240.pdf,/objects/small/harpersbazaar_1876_240_sm.jpg,/objects/thumbs/harpersbazaar_1876_240_th.jpg,,"Bellew, Allie",Harper's Bazar,1876-04-08,240,
